Resources,5-Oct,6-Oct,7-Oct,8-Oct,
Nutanix ESX hosts,,,,
App tier,,,,
pmelnappesx01,28%,28%,28%,29%
pmelnappesx02,45%,45%,45%,46%
pmelnappesx03,49%,49%,49%,49%
pmelnappesx04,35%,36%,36%,36%
pmelnappesx05,35%,35%,35%,35%
pmelnappesx06,42%,41%,41%,41%
pmelnappesx07,35%,35%,35%,35%
AVG,38%,38%,38%,39%
Web tier,,,,
PMELNWEBESX01,37%,38%,38%,36%
PMELNWEBESX02,41%,41%,41%,42%
PMELNWEBESX03,43%,43%,43%,43%
PMELNWEBESX04,39%,38%,39%,39%
PMELNWEBESX05,44%,45%,44%,45%
AVG,41%,41%,41%,41%
EMC SAN controllers,,,,
SAN-A,2200%,2300%,2400%,2500%
SAN-B,,,,
AVG,2200%,2300%,2400%,2500%
SQL Active node,,,,
pmelSQL,,,,
pmelSQL00,14%,13%,12%,12%
pmelSQL01,4%,4%,3%,3%
pmelSQL02,,,,
SAN Latency (EMC SQL volumes),,,,
,r/w,r/w,r/w,r/w
SAN Latency (PURE),.45/.17,.48/.17,.49/.17,.47/.17
SAN IOPs (PURE),282/34036,264/33798,239/33130,240/33248
Citrix VPX Redir VIP1,24%,24%,24%,24%
Citrix VPX Redir VIP2,20%,20%,20%,20%
Citrix VPX Redir VIP3,24%,24%,24%,24%
Citrix VPX Redir Web,17%,17%,17%,17%
